Designator,Footprint,Quantity,Value,LCSC Part #
10UF1,CAPC1005X70N,1,CL10A106MQ8NNNC,
BL54L15U1,"Ezurio, BL54L15u Module, Platform Side",1,bl54l15u,
BT2,BAT_3013,1,3013,
"C1, C_12",CAPC1005X55N,2,CL05B104KO5NNNC,
C_1,CAPC1005X55N,1,CL05B102KB5NNNC,
C_11,CAPC1005X55N,1,CL05A105KP5NNNC,
C_13,CAPC1005X70N,1,CL05A106MQ5NUNC,
"C_4, C_7",CAPC1005X55N,2,CL05B224KO5NNNC,
C_8,CAPC1005X55N,1,CC0402KRX7R9BB202,
C_9,CAPC1005X55N,1,CC0402KRX7R7BB183,
D1,LEDC1005X35N,1,VLMG1500-GS08,
"R1, R3",RESC1005X40N,2,0402WGF4701TCE,
R2,RESC1005X40N,1,0402WGF1001TCE,
R_12,RES_ERJ2RKF3302X,1,ERJ2RKF3302X,
"R_13, R_16",RES_CRCW0402_VIS,2,CRCW040250K0FKED,
R_14,RES_ERJ-2GEJ335X,1,ERJ-2GEJ335X,
"R_17, R_18",RESC1005X40N,2,RC0402FR-0710ML,
R_19,RESC1005X40N,1,RC0402FR-071ML,
R_2,RESC1005X40N,1,CRCW0402499KFKED,
R_20,RESC1005X40N,1,RC0402FR-0775KL,
"R_6, R_7",RESC1005X37N,2,AC0402FR-07182KL,
U1,BGA20N40P5X4_204X170X56N,1,AD8233ACBZ-R7,
U2,PQFN50P250X300X86-14N,1,LSM6DSOXTR,
